ABARA_code,Family,Genus,Species,Scientific_name,Chinese_name,DNA,COI,28S,Storage,Sex,Country,Locality,Elve,Latitude,Longitude,Collection_Year,Collection_Month,Collection_Day,QGIS_Action_Link
ABARA_03848,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,,,Pringles_01,F,Taiwan,高士佛步道,361.0,22.120921,120.837497,2022,4,3,obsidian://open?vault=NCHU_Research&file=ABARA_03848
ABARA_03849,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,Pringles_01,M,Taiwan,高士佛步道,361.0,22.120921,120.837497,2022,4,3,obsidian://open?vault=NCHU_Research&file=ABARA_03849
ABARA_03853,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,●,◐,●,Pringles_03,F,Taiwan,"五指山 Wuzhi Mountain, Beipu Township, Hsinchu County",750.0,24.640405,121.088146,2022,3,25,obsidian://open?vault=NCHU_Research&file=ABARA_03853
ABARA_03877,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,,,Pringles_01,M,Taiwan,"迎風堡 Zhusan Township, Nantou Co.",1629.0,23.646716,120.780262,2022,5,11,obsidian://open?vault=NCHU_Research&file=ABARA_03877
ABARA_03880,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,,,,Pringles_03,M,Taiwan,"紅頭森林步道 Hungtou forest trail, Lanyu Township, Taitung County",54.0,22.008948,121.57173,2022,4,5,obsidian://open?vault=NCHU_Research&file=ABARA_03880
ABARA_03881,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,,,,Pringles_03,F,Taiwan,"紅頭森林步道 Hungtou forest trail, Lanyu Township, Taitung County",54.0,22.008948,121.57173,2022,4,6,obsidian://open?vault=NCHU_Research&file=ABARA_03881
ABARA_03882,Araneidae,Eriovixia,excelsa,Eriovixia excelsa,艾氏毛圓蛛,●,,●,Pringles_03,F,Taiwan,"三嵙頭Shankekou, Xinshe Dist., Taichung City ",537.0,24.195035,120.806942,2022,5,8,obsidian://open?vault=NCHU_Research&file=ABARA_03882
ABARA_04361,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,,,,Pringles_03,F,Taiwan,"中橫，蘭嶼 Lanyu Township, Taitung County",138.0,22.036062,121.564466,2022,4,6,obsidian://open?vault=NCHU_Research&file=ABARA_04361
ABARA_04465,Araneidae,Eriovixia,pseudocentrodes,Eriovixia pseudocentrodes,尖腹毛圓蛛,●,,,Pringles_03,F,Taiwan,"蓮華池 Lianhuachih Research Center, Yuchi Township, Nantou County ",676.0,23.918332,120.885049,2011,8,11,obsidian://open?vault=NCHU_Research&file=ABARA_04465
ABARA_04466,Araneidae,Eriovixia,pseudocentrodes,Eriovixia pseudocentrodes,尖腹毛圓蛛,●,◐,,Pringles_03,F,Taiwan,"Low Altitude Experimental Station, Hoping Dist. Taichung City",1000.0,24.273285,120.948539,2011,8,5,obsidian://open?vault=NCHU_Research&file=ABARA_04466
ABARA_04721,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,F,Taiwan,"Kaohsiung City, Taiwan",1100.0,23.04,120.71,2022,11,28,obsidian://open?vault=NCHU_Research&file=ABARA_04721
ABARA_04750,Araneidae,Leviaraneus,viridiventris,Leviaraneus viridiventris,綠腹鬼蛛,●,,,Pringles_03,F,Taiwan,"田家樂社區賞螢步道 Zhusan Township, Nantou County",244.0,23.712096,120.694034,2022,12,23,obsidian://open?vault=NCHU_Research&file=ABARA_04750
ABARA_04801,Araneidae,Leviaraneus,viridiventris,Leviaraneus viridiventris,綠腹鬼蛛,●,,,Pringles_03,F,Taiwan,"田家樂社區賞螢步道 Zhusan Township, Nantou County",244.0,23.712096,120.694034,2022,11,20,obsidian://open?vault=NCHU_Research&file=ABARA_04801
ABARA_05048,Araneidae,Bijoaraneus,cf. legonensi,Bijoaraneus cf. legonensi,,●,,,Pringles_02,F,India,"Tamil Nadu, India",1000.0,12.58,78.66,2023,8,8-16,obsidian://open?vault=NCHU_Research&file=ABARA_05048
ABARA_05070,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,◐,●,Pringles_01,F,Taiwan,"力行產業道路 Ren'ai Township, Nantou County",1540.0,24.06277,121.15888,2023,7,10,obsidian://open?vault=NCHU_Research&file=ABARA_05070
ABARA_05105,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,◐,●,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",200.0,22.22,120.79,2023,1,12,obsidian://open?vault=NCHU_Research&file=ABARA_05105
ABARA_05106,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,,,Pringles_01,M,Taiwan,"雙流國家森林遊樂區Shuangliu Forest Recreation Area,Shizi Township, Pingtung County",182.0,22.218755,120.794352,2023,1,12,obsidian://open?vault=NCHU_Research&file=ABARA_05106
ABARA_05119,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,●,,,Pringles_01,F,Japan,"沖繩,東南植物園 Okinawa, Southeast Botanical Gardens",45.0,26.37473,127.806142,2023,9,6,obsidian://open?vault=NCHU_Research&file=ABARA_05119
ABARA_05193,Araneidae,Eriovixia,laglaizei,Eriovixia laglaizei,拉氏毛圓蛛,,,,Pringles_03,F,Taiwan,"富陽自然生態公園 Fuyang Eco Park, Da'an District,Taipei City",,25.01,121.55,2023,7,24,obsidian://open?vault=NCHU_Research&file=ABARA_05193
ABARA_05252,Araneidae,Guizygiella,sp,Guizygiella sp,,●,◐,,Pringles_03,F,Taiwan,"Nantou County, Taiwan",1100.0,24.02,121.19,2024,2,22,obsidian://open?vault=NCHU_Research&file=ABARA_05252
ABARA_05253,Araneidae,Guizygiella,sp,Guizygiella sp,,●,◐,,Pringles_03,F,Taiwan,"Nantou County, Taiwan",1100.0,24.02,121.19,2024,2,22,obsidian://open?vault=NCHU_Research&file=ABARA_05253
ABARA_05445,Araneidae,Bijoaraneus,sp,Bijoaraneus sp,,,,,Pringles_02,J,India,"Tamil Nadu, India",1000.0,12.58,78.63,2024,7,2-12,obsidian://open?vault=NCHU_Research&file=ABARA_05445
ABARA_05454,Araneidae,Eriovixia,sp,Eriovixia sp,,●,,,Pringles_03,F,India,"Tamil Nadu, India",1000.0,12.58,78.63,2024,7,2-12,obsidian://open?vault=NCHU_Research&file=ABARA_05454
ABARA_05478,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,F,Taiwan,"New Taipei City, Taiwan",100.0,24.94,121.55,2015,11,22,obsidian://open?vault=NCHU_Research&file=ABARA_05478
ABARA_05479,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"嘉義縣觸口自然教育中心 Chiayi--Chukou Nature Center, Chiayi County ",165.0,23.453133,120.559564,2015,11,25,obsidian://open?vault=NCHU_Research&file=ABARA_05479
ABARA_05480,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,F,Taiwan,"高雄市柴山西海岸 Chaishan, Gushan Dist., Kaohsiung City",51.0,22.635045,120.259706,2016,6,3,obsidian://open?vault=NCHU_Research&file=ABARA_05480
ABARA_05483,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,F,Taiwan,"南投縣中寮鄉 Zhongliao Township, Nantou County",195.0,23.89977,120.78315,2018,5,11,obsidian://open?vault=NCHU_Research&file=ABARA_05483
ABARA_05484,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"南投縣中寮鄉 Zhongliao Township, Nantou County",250.0,23.93053,120.7989,2019,4,19,obsidian://open?vault=NCHU_Research&file=ABARA_05484
ABARA_05485,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"南投縣中寮鄉 Zhongliao Township, Nantou County",195.0,23.86646,120.78315,2019,6,19,obsidian://open?vault=NCHU_Research&file=ABARA_05485
ABARA_05486,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"New Taipei City, Taiwan",,,,2020,7,29,obsidian://open?vault=NCHU_Research&file=ABARA_05486
ABARA_05532,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,●,,,Pringles_01,M,Japan,"與那覇岳 Yonaha Mt. Trail, Kunigami District, Okinawa County",348.0,26.730278,128.211944,2024,7,5,obsidian://open?vault=NCHU_Research&file=ABARA_05532
ABARA_05533,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,,,,Pringles_01,M,Japan,"與那覇岳 Yonaha Mt. Trail, Kunigami District, Okinawa County",348.0,26.730278,128.211944,2024,7,5,obsidian://open?vault=NCHU_Research&file=ABARA_05533
ABARA_05540,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,,,,Pringles_01,M,Japan,"大宜味村 Oogimison Village, Kunigami District, Okinawa County",261.0,26.6834,128.1368,2024,7,6,obsidian://open?vault=NCHU_Research&file=ABARA_05540
ABARA_05542,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,,,,Pringles_01,F,Japan,"大宜味村 Oogimison Village, Kunigami District, Okinawa County",261.0,26.6834,128.1368,2024,7,6,obsidian://open?vault=NCHU_Research&file=ABARA_05542
ABARA_05543,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,●,,●,Pringles_01,F,Japan,"大宜味村 Oogimison Village, Kunigami District, Okinawa County",261.0,26.6834,128.1368,2024,7,6,obsidian://open?vault=NCHU_Research&file=ABARA_05543
ABARA_05544,Araneidae,Aoaraneus,amabilis,Aoaraneus amabilis,可愛青鬼蛛,●,◐,,Pringles_01,M,Japan,"大宜味村 Oogimison Village, Kunigami District, Okinawa County",261.0,26.6834,128.1368,2024,7,6,obsidian://open?vault=NCHU_Research&file=ABARA_05544
ABARA_05580,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,M,Taiwan,"雲林縣古坑鄉棋盤村 Gukeng Township, Yunlin County",716.0,23.960516,120.849766,2014,6,26,obsidian://open?vault=NCHU_Research&file=ABARA_05580
ABARA_05581,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,F,Taiwan,"Taitung County, Taiwan",200.0,22.69,120.99,2015,1,25,obsidian://open?vault=NCHU_Research&file=ABARA_05581
ABARA_05582,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",,,,2016,4,30,obsidian://open?vault=NCHU_Research&file=ABARA_05582
ABARA_05583,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",,,,2016,4,30,obsidian://open?vault=NCHU_Research&file=ABARA_05583
ABARA_05584,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Yilan County, Taiwan",0.0,24.47,121.78,2017,6,6,obsidian://open?vault=NCHU_Research&file=ABARA_05584
ABARA_05585,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,M,Taiwan,"南投縣九份二山 Jiufen'ershan, Nantou County",43.0,23.960516,120.849766,2018,7,18,obsidian://open?vault=NCHU_Research&file=ABARA_05585
ABARA_05586,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,M,Taiwan,"高雄市柴山西海岸 Chaishan, Gushan Dist., Kaohsiung City",51.0,22.635045,120.259706,2017,3,24,obsidian://open?vault=NCHU_Research&file=ABARA_05586
ABARA_05587,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",200.0,24.54,121.83,2019,3,11,obsidian://open?vault=NCHU_Research&file=ABARA_05587
ABARA_05588,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,F,Taiwan,"雲林縣古坑鄉大力農場 Gukeng Township, Yunlin County",,,,2020,4,9,obsidian://open?vault=NCHU_Research&file=ABARA_05588
ABARA_05589,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.53,121.84,2020,11,3,obsidian://open?vault=NCHU_Research&file=ABARA_05589
ABARA_05590,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2020,11,5,obsidian://open?vault=NCHU_Research&file=ABARA_05590
ABARA_05591,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.56,121.84,2020,3,2,obsidian://open?vault=NCHU_Research&file=ABARA_05591
ABARA_05592,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,Pringles_01,F,Taiwan,"花蓮縣秀林鄉 Xiulin Township,  Hualien County",35.0,24.248112,121.715549,2020,3,5,obsidian://open?vault=NCHU_Research&file=ABARA_05592
ABARA_05593,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",200.0,24.54,121.83,2020,5,6,obsidian://open?vault=NCHU_Research&file=ABARA_05593
ABARA_05594,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.53,121.84,2020,7,7,obsidian://open?vault=NCHU_Research&file=ABARA_05594
ABARA_05595,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.53,121.84,2020,7,7,obsidian://open?vault=NCHU_Research&file=ABARA_05595
ABARA_05596,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",200.0,24.54,121.83,2020,7,7,obsidian://open?vault=NCHU_Research&file=ABARA_05596
ABARA_05597,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.44,121.77,2021,4,13,obsidian://open?vault=NCHU_Research&file=ABARA_05597
ABARA_05598,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.44,121.77,2021,4,13,obsidian://open?vault=NCHU_Research&file=ABARA_05598
ABARA_05599,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,,,Pringles_02,M,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2021,4,12,obsidian://open?vault=NCHU_Research&file=ABARA_05599
ABARA_05600,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2021,4,12,obsidian://open?vault=NCHU_Research&file=ABARA_05600
ABARA_05601,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2021,4,12,obsidian://open?vault=NCHU_Research&file=ABARA_05601
ABARA_05602,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,F,Taiwan,"雲林縣古坑鄉大力農場 Gukeng Township, Yunlin County",61.0,23.6397,120.5368,2021,2,26,obsidian://open?vault=NCHU_Research&file=ABARA_05602
ABARA_05603,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,●,Pringles_02,F,Taiwan,"雲林縣古坑鄉慈心農地 Gukeng Township, Yunlin County",55.0,23.6409,120.5322,2021,2,25,obsidian://open?vault=NCHU_Research&file=ABARA_05603
ABARA_05604,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"雲林縣古坑鄉慈心農地 Gukeng Township, Yunlin County",55.0,23.6409,120.5322,2021,2,25,obsidian://open?vault=NCHU_Research&file=ABARA_05604
ABARA_05605,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,M,Taiwan,"雲林縣古坑鄉慈心農地 Gukeng Township, Yunlin County",55.0,23.6409,120.5322,2021,2,25,obsidian://open?vault=NCHU_Research&file=ABARA_05605
ABARA_05606,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.44,121.77,2021,6,24,obsidian://open?vault=NCHU_Research&file=ABARA_05606
ABARA_05607,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2021,6,22,obsidian://open?vault=NCHU_Research&file=ABARA_05607
ABARA_05608,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"雲林縣古坑鄉慈心農地 Gukeng Township, Yunlin County",55.0,23.6409,120.5322,2021,10,19,obsidian://open?vault=NCHU_Research&file=ABARA_05608
ABARA_05609,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,,,,Pringles_02,F,Taiwan,"雲林縣古坑鄉慈心農地 Gukeng Township, Yunlin County",55.0,23.6409,120.5322,2021,10,19,obsidian://open?vault=NCHU_Research&file=ABARA_05609
ABARA_05610,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2021,8,9,obsidian://open?vault=NCHU_Research&file=ABARA_05610
ABARA_05611,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Yilan County, Taiwan",100.0,24.44,121.77,2022,2,24,obsidian://open?vault=NCHU_Research&file=ABARA_05611
ABARA_05645,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,M,Taiwan,"雲林縣古坑鄉大力農場 Gukeng Township, Yunlin County",61.0,23.6397,120.5368,2022,3,15,obsidian://open?vault=NCHU_Research&file=ABARA_05645
ABARA_05646,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2022,2,23,obsidian://open?vault=NCHU_Research&file=ABARA_05646
ABARA_05647,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2022,2,23,obsidian://open?vault=NCHU_Research&file=ABARA_05647
ABARA_05648,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,Pringles_01,M,Taiwan,"花蓮縣秀林鄉中仁南近 Xiulin Township,  Hualien County",34.0,24.248241,121.715549,2022,2,23,obsidian://open?vault=NCHU_Research&file=ABARA_05648
ABARA_05649,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Hualien County, Taiwan",0.0,24.25,121.72,2022,2,23,obsidian://open?vault=NCHU_Research&file=ABARA_05649
ABARA_05650,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,,Pringles_02,F,Taiwan,"南投縣南平山道田生態農場 Puli Township, Nantou County",402.0,23.9823,120.9105,2022,5,11,obsidian://open?vault=NCHU_Research&file=ABARA_05650
ABARA_05651,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,M,Taiwan,"Yilan County, Taiwan",100.0,24.53,121.84,2019,11,14,obsidian://open?vault=NCHU_Research&file=ABARA_05651
ABARA_05652,Araneidae,Bijoaraneus,aff. mitificus,Bijoaraneus aff. mitificus,黑綠媛鬼蛛,●,,●,Pringles_02,M,Taiwan,"台南市山上區水道博物館净水池區 Shanshang Dist., Tainan City",72.0,23.086728,120.360331,2022,8,28,obsidian://open?vault=NCHU_Research&file=ABARA_05652
